kode,nama,total_in,date_in,no_invoice,harga_satuan
SU01-MEMBRANYT858,Membran YT848-868 CP80,2,10/18/2023,INV/20231018/MPL/2116309861,120000
SU01-MEMBRANYT888,Membran YT878-898 CP180,3,10/18/2023,INV/20231018/MPL/2116309862,130000
PADOVAN-CANT,PADOVAN CANTOVIGOR 30 ML,10,10/18/2023,INV/20231018/MPL/2116309863,90000
PADOVAN-MULVIT,PADOVAN MULTIVITAMINICO 30 ML,10,10/18/2023,INV/20231018/MPL/2116309864,90000
PADOVAN-MTVGR30,PADOVAN MUTAVIGOR 30 ML,10,10/18/2023,INV/20231018/MPL/2116309865,90000
PADOVAN-RESP,PADOVAN RESPIRVIGOR 30 ML,10,10/18/2023,INV/20231018/MPL/2116309866,40000
PADOVAN-VITAE,PADOVAN VITA E 30 ML,10,10/18/2023,INV/20231018/MPL/2116309867,90000
8001254000169,PADOVAN Wood Chips Green Apple,2,10/18/2023,INV/20231018/MPL/2116309868,40000
8001254001715,PADOVAN Wood Chips Lemon,2,10/18/2023,INV/20231018/MPL/2116309869,40000
PR02-CO2-20,Prodac CO2 20 Tablet,10,10/18/2023,INV/20231018/MPL/2116309870,185000
8018189300035,Prodac Humuplus 500g,2,10/18/2023,INV/20231018/MPL/2116309871,70000
8018189400087,Prodac Test NH3,10,10/18/2023,INV/20231018/MPL/2116309872,230000
02SSG59050803011,PROPAM AIR101,21,10/18/2023,INV/20231018/MPL/2116309873,52000
02SSG59050803012,PROPAM AIR202,7,10/18/2023,INV/20231018/MPL/2116309874,71000
02SSG59050803013,PROPAM AIR404,7,10/18/2023,INV/20231018/MPL/2116309875,240000
02SSG5905051601168,PROPAM JGP1000L,14,10/18/2023,INV/20231018/MPL/2116309876,70000
02SSG5905051601169,Propam JGP1500L,18,10/18/2023,INV/20231018/MPL/2116309877,80000
02SSG5905051601170,Propam JGP2500L,10,10/18/2023,INV/20231018/MPL/2116309878,130000
02SSG5905051601171,PROPAM JGP3000L,10,10/18/2023,INV/20231018/MPL/2116309879,180000
02SSG5905051601172,PROPAM JGP3500L,6,10/18/2023,INV/20231018/MPL/2116309880,230000
02SSG5905051601173,PROPAM JGP4500L,5,10/18/2023,INV/20231018/MPL/2116309881,350000
02SSG5905051601175,Propam JP1000,8,10/18/2023,INV/20231018/MPL/2116309882,70000
02SSG5905051601176,Propam JP1200,6,10/18/2023,INV/20231018/MPL/2116309883,90000
02SSG5905051601177,Propam JP1600,9,10/18/2023,INV/20231018/MPL/2116309884,140000
PR01-JP600,Propam JP600,15,10/18/2023,INV/20231018/MPL/2116309885,55000
02SSG5905051601159,Propam JQP1000,43,10/18/2023,INV/20231018/MPL/2116309886,70000
02SSG5905051601165,Propam JQP1000F,5,10/18/2023,INV/20231018/MPL/2116309887,90000
02SSG5905051601160,PROPAM JQP1500,11,10/18/2023,INV/20231018/MPL/2116309888,90000
02SSG5905051601166,Propam JQP1500F,10,10/18/2023,INV/20231018/MPL/2116309889,150000
02SSG5905051601161,PROPAM JQP2500,26,10/18/2023,INV/20231018/MPL/2116309890,110000
02ssg5905051601167,Propam JQP2500F,6,10/18/2023,INV/20231018/MPL/2116309891,170000
02SSG5905051601162,Propam JQP3000,12,10/18/2023,INV/20231018/MPL/2116309892,160000
02SSG5905051601163,PROPAM JQP3500,10,10/18/2023,INV/20231018/MPL/2116309893,230000
PRO01-JQP500,PROPAM JQP500,14,10/18/2023,INV/20231018/MPL/2116309894,50000
02SSG5905051601164,Propam JQP500F,6,10/18/2023,INV/20231018/MPL/2116309895,70000
02SSG590505160140,PROPAM JTP10000,10,10/18/2023,INV/20231018/MPL/2116309896,930000
02SSG590505160141,PROPAM JTP12000,9,10/18/2023,INV/20231018/MPL/2116309897,970000
02SSG590505160142,PROPAM JTP16000,10,10/18/2023,INV/20231018/MPL/2116309898,1050000
02SSG590505160134,PROPAM JTP3800,4,10/18/2023,INV/20231018/MPL/2116309899,550000
02SSG590505160143,PROPAM JTP3800UV,10,10/18/2023,INV/20231018/MPL/2116309900,830000
02SSG590505160135,PROPAM JTP4800,6,10/18/2023,INV/20231018/MPL/2116309901,570000
02SSG590505160144,PROPAM JTP4800UV,2,10/18/2023,INV/20231018/MPL/2116309902,850000
02SSG590505160136,PROPAM JTP5800,17,10/18/2023,INV/20231018/MPL/2116309903,590000
02SSG590505160145,PROPAM JTP5800UV,2,10/18/2023,INV/20231018/MPL/2116309904,870000
02SSG590505160137,PROPAM JTP7000,10,10/18/2023,INV/20231018/MPL/2116309905,750000
PR01-JTP7000UV,PROPAM JTP7000UV,10,10/18/2023,INV/20231018/MPL/2116309906,1090000
02SSG590505160138,PROPAM JTP8000,10,10/18/2023,INV/20231018/MPL/2116309907,770000
PR01-JTP8000UV,PROPAM JTP8000UV,10,10/18/2023,INV/20231018/MPL/2116309908,1110000
02SSG590505160139,PROPAM JTP9000,10,10/18/2023,INV/20231018/MPL/2116309909,790000
02SSG590505160148,PROPAM JTP9000UV,5,10/18/2023,INV/20231018/MPL/2116309910,1140000
02SSG59050516011,PROPAM PP101,9,10/18/2023,INV/20231018/MPL/2116309911,59000
02SSG59050516012,PROPAM PP102,2,10/18/2023,INV/20231018/MPL/2116309912,72000
02SSG59050516013,PROPAM PP103,4,10/18/2023,INV/20231018/MPL/2116309913,98000
02SSG59050516014,PROPAM PP104,10,10/18/2023,INV/20231018/MPL/2116309914,125000
02SSG59050516015,PROPAM PP105,4,10/18/2023,INV/20231018/MPL/2116309915,180000
02SSG59050516016,PROPAM PP106,4,10/18/2023,INV/20231018/MPL/2116309916,215000
02SSG59050516017,PROPAM PP107,2,10/18/2023,INV/20231018/MPL/2116309917,250000
02SSG59050516018,PROPAM PP108,2,10/18/2023,INV/20231018/MPL/2116309918,375000
02SSG59050516019,PROPAM PP109,2,10/18/2023,INV/20231018/MPL/2116309919,385000
02SSG590505160110,PROPAM PP110,2,10/18/2023,INV/20231018/MPL/2116309920,400000
02SSG59051403011,PROPAM WM110,11,10/18/2023,INV/20231018/MPL/2116309921,52000
02SSG59051403012,PROPAM WM120,14,10/18/2023,INV/20231018/MPL/2116309922,60000
02SSG59051403013,PROPAM WM200,10,10/18/2023,INV/20231018/MPL/2116309923,110000
02SSG59051403014,PROPAM WM201,10,10/18/2023,INV/20231018/MPL/2116309924,120000
02SSG59051403015,PROPAM WM402,10,10/18/2023,INV/20231018/MPL/2116309925,320000
PROVET-PTILES135,Provet Pastilles 135,10,10/18/2023,INV/20231018/MPL/2116309926,90000
PROVET-VITE750G,Provet Vit E 750,10,10/18/2023,INV/20231018/MPL/2116309927,90000
02SSG64050803011,PUMPA Air111,14,10/18/2023,INV/20231018/MPL/2116309928,50000
02SSG64050803012,PUMPA Air222,11,10/18/2023,INV/20231018/MPL/2116309929,60000
02SSG64050803013,PUMPA Air444,15,10/18/2023,INV/20231018/MPL/2116309930,200000
02SSG640505160198,PUMPA CTP10000,3,10/18/2023,INV/20231018/MPL/2116309931,850000
02SSG640505160199,PUMPA CTP12000,8,10/18/2023,INV/20231018/MPL/2116309932,900000
02SSG6405051601100,PUMPA CTP16000,5,10/18/2023,INV/20231018/MPL/2116309933,850000
02SSG640505160192,PUMPA CTP3000,6,10/18/2023,INV/20231018/MPL/2116309934,450000
02SSG640505160193,PUMPA CTP3600,10,10/18/2023,INV/20231018/MPL/2116309935,470000
02SSG640505160194,PUMPA CTP4500,5,10/18/2023,INV/20231018/MPL/2116309936,500000
02SSG640505160195,PUMPA CTP6000,9,10/18/2023,INV/20231018/MPL/2116309937,690000
02SSG640505160196,PUMPA CTP7000,10,10/18/2023,INV/20231018/MPL/2116309938,710000
02SSG640505160197,PUMPA CTP8000,4,10/18/2023,INV/20231018/MPL/2116309939,750000
PUMPA-DC10000,PUMPA DC10000,4,10/18/2023,INV/20231018/MPL/2116309940,1200000
PUMPA-DC3500,PUMPA DC3500,10,10/18/2023,INV/20231018/MPL/2116309941,1100000
PUMPA-DC6000,PUMPA DC6000,10,10/18/2023,INV/20231018/MPL/2116309942,800000
02SSG64051720011,PUMPA HF301,8,10/18/2023,INV/20231018/MPL/2116309943,60000
02SSG64051720012,PUMPA HF501,7,10/18/2023,INV/20231018/MPL/2116309944,70000
02SSG64051720013,PUMPA HF701,7,10/18/2023,INV/20231018/MPL/2116309945,110000
01SSG3005051601468,PUMPA JTP2000,16,10/18/2023,INV/20231018/MPL/2116309946,370000
02SSG3005051601468,PUMPA JTP2500,25,10/18/2023,INV/20231018/MPL/2116309947,390000
01SSG3005051601472,PUMPA JTP3000,3,10/18/2023,INV/20231018/MPL/2116309948,410000
02SSG3005051601478,PUMPA JTP5800,24,10/18/2023,INV/20231018/MPL/2116309949,620000
02SSG64052803011,PUMPA JY02,11,10/18/2023,INV/20231018/MPL/2116309950,50000
02SSG64052803012,PUMPA JY03,30,10/18/2023,INV/20231018/MPL/2116309951,60000
02SSG64051717013,PUMPA LW302,3,10/18/2023,INV/20231018/MPL/2116309952,500000
02SSG64051716011,PUMPA LW303,2,10/18/2023,INV/20231018/MPL/2116309953,660000
02SSG64051717014,PUMPA LW303UV,10,10/18/2023,INV/20231018/MPL/2116309954,810000
02SSG64050517011,PUMPA LW304,2,10/18/2023,INV/20231018/MPL/2116309955,810000
02SSG64050517012,PUMPA LW304UV,2,10/18/2023,INV/20231018/MPL/2116309956,960000
02SSG64051717011,PUMPA LW602B,8,10/18/2023,INV/20231018/MPL/2116309957,220000
02SSG64051717012,PUMPA LW603B,6,10/18/2023,INV/20231018/MPL/2116309958,250000
02SSG64051718011,PUMPA MINI 200L,45,10/18/2023,INV/20231018/MPL/2116309959,35000
02SSG64051718012,PUMPA MINI 300L,12,10/18/2023,INV/20231018/MPL/2116309960,45000
02SSG3005051601457,PUMPA P101,10,10/18/2023,INV/20231018/MPL/2116309961,60000
01SSG3005051601458,PUMPA P102,4,10/18/2023,INV/20231018/MPL/2116309962,80000
01SSG3005051601459,PUMPA P103,11,10/18/2023,INV/20231018/MPL/2116309963,110000
02SSG3005051601460,PUMPA P104,10,10/18/2023,INV/20231018/MPL/2116309964,160000
02SSG3005051601485,PUMPA P105,8,10/18/2023,INV/20231018/MPL/2116309965,200000
01SSG3005051601463,PUMPA P106,3,10/18/2023,INV/20231018/MPL/2116309966,250000
02SSG3005051601464,PUMPA P107,3,10/18/2023,INV/20231018/MPL/2116309967,350000
01SSG3005051601466,PUMPA P108,2,10/18/2023,INV/20231018/MPL/2116309968,400000
01SSG3005051601464,PUMPA P1500,21,10/18/2023,INV/20231018/MPL/2116309969,70000
01SSG3005051601473,PUMPA P2500,11,10/18/2023,INV/20231018/MPL/2116309970,115000
PUMPA-P3500,PUMPA P3500,6,10/18/2023,INV/20231018/MPL/2116309971,220000
01SSG3005051601475,PUMPA P4500,10,10/18/2023,INV/20231018/MPL/2116309972,300000
02SSG64050528013,PUMPA WP1000,10,10/18/2023,INV/20231018/MPL/2116309973,80000
02SSG64050528018,PUMPA WP103,10,10/18/2023,INV/20231018/MPL/2116309974,70000
02SSG64050528019,PUMPA WP104,9,10/18/2023,INV/20231018/MPL/2116309975,90000
02SSG640505280110,PUMPA WP105,10,10/18/2023,INV/20231018/MPL/2116309976,140000
02SSG640505280111,PUMPA WP106,3,10/18/2023,INV/20231018/MPL/2116309977,210000
02SSG640505280112,PUMPA WP107,5,10/18/2023,INV/20231018/MPL/2116309978,300000
02SSG64050528011,PUMPA WP1500,29,10/18/2023,INV/20231018/MPL/2116309979,110000
02SSG64050528012,PUMPA WP2500,5,10/18/2023,INV/20231018/MPL/2116309980,160000
02SSG64050528015,PUMPA WP3000,6,10/18/2023,INV/20231018/MPL/2116309981,230000
02SSG64050528016,PUMPA WP3500,8,10/18/2023,INV/20231018/MPL/2116309982,340000
02SSG64050528017,PUMPA WP4500,6,10/18/2023,INV/20231018/MPL/2116309983,360000
SHIRUBA-K505,SHIRUBA K505,10,10/18/2023,INV/20231018/MPL/2116309984,80000
4715427120175,SHIRUBA K808,2,10/18/2023,INV/20231018/MPL/2116309985,165000
4715427321053,Shiruba PF1000,2,10/18/2023,INV/20231018/MPL/2116309986,247500
4715427321015,Shiruba PF120,10,10/18/2023,INV/20231018/MPL/2116309987,112500
4715427321039,Shiruba PF360,2,10/18/2023,INV/20231018/MPL/2116309988,153000
SHIRUBA-PH201,Shiruba PH201,10,10/18/2023,INV/20231018/MPL/2116309989,94500
SHIRUBA-SS250,Shiruba SS250,10,10/18/2023,INV/20231018/MPL/2116309990,180000
SHIRUBA-XB303,SHIRUBA XB303,10,10/18/2023,INV/20231018/MPL/2116309991,565000
SHIRUBA-XB305,SHIRUBA XB305,10,10/18/2023,INV/20231018/MPL/2116309992,630000
SHIRUBA-XB312,Shiruba XB312,10,10/18/2023,INV/20231018/MPL/2116309993,1575000
SI01-DW10500E,Sicce DW10500E,10,10/18/2023,INV/20231018/MPL/2116309994,4100000
SI01-DW4000,Sicce DW4000,10,10/18/2023,INV/20231018/MPL/2116309995,1300000
SI01-DW5500,Sicce DW5500,10,10/18/2023,INV/20231018/MPL/2116309996,1950000
SI01-DW8000,Sicce DW8000,10,10/18/2023,INV/20231018/MPL/2116309997,2750000
SICCE-HT200,Sicce Heater 200W,10,10/18/2023,INV/20231018/MPL/2116309998,310000
SI01-UZ3000,Sicce Ultrazero 3000,10,10/18/2023,INV/20231018/MPL/2116309999,1200000
SI01-WH500,Sicce WHALE500,10,10/18/2023,INV/20231018/MPL/2116310000,2450000
6955974974564,SUNSUN CEF16000A,10,10/18/2023,INV/20231018/MPL/2116310001,1100000
6955974974571,SUNSUN CEF22000A,2,10/18/2023,INV/20231018/MPL/2116310002,1600000
6955974974588,SUNSUN CEF26000A,10,10/18/2023,INV/20231018/MPL/2116310003,1800000
6955974974595,SUNSUN CEF30000A,10,10/18/2023,INV/20231018/MPL/2116310004,2000000
SUNSUN-CET22000,SUNSUN CET22000,10,10/18/2023,INV/20231018/MPL/2116310005,4600000
6971867510787,SUNSUN CFF206,3,10/18/2023,INV/20231018/MPL/2116310006,1300000
SUNSUN-CP180,SUNSUN CP180,10,10/18/2023,INV/20231018/MPL/2116310007,4300000
SUNSUN-CP80,SUNSUN CP80,2,10/18/2023,INV/20231018/MPL/2116310008,2550000
SUNSUN-CPA10000,SUNSUN CPA10000,5,10/18/2023,INV/20231018/MPL/2116310009,2600000
SUNSUN-CPA15000,SUNSUN CPA15000,5,10/18/2023,INV/20231018/MPL/2116310010,3100000
SUNSUN-CPF10000,SUNSUN CPF10000,10,10/18/2023,INV/20231018/MPL/2116310011,2200000
SUNSUN-CPF15000,SUNSUN CPF15000,10,10/18/2023,INV/20231018/MPL/2116310012,2900000
SUNSUN-CPF5000,SUNSUN CPF5000,10,10/18/2023,INV/20231018/MPL/2116310013,2000000
SUNSUN-CTP12000,SUNSUN CTP12000,4,10/18/2023,INV/20231018/MPL/2116310014,920000
SUNSUN-CTP2800,SUNSUN CTP2800,10,10/18/2023,INV/20231018/MPL/2116310015,520000
SU01-CTP3800,SUNSUN CTP3800,2,10/18/2023,INV/20231018/MPL/2116310016,780000
SU01-CTP4800,SUNSUN CTP4800,2,10/18/2023,INV/20231018/MPL/2116310017,810000
SUNSUN-CTP8000,SUNSUN CTP8000,7,10/18/2023,INV/20231018/MPL/2116310018,770000
02SSG30051003012,SUNSUN EX1400UV,10,10/18/2023,INV/20231018/MPL/2116310019,1255000
SU01-EX2000UV,SUNSUN EX2000UV,10,10/18/2023,INV/20231018/MPL/2116310020,1245000
02SSG30051003014,SUNSUN EX350,10,10/18/2023,INV/20231018/MPL/2116310021,460000
SUNSUN-HBL501,SUNSUN HBL501,5,10/18/2023,INV/20231018/MPL/2116310022,115000
SU01-HF300,SUNSUN HF300,10,10/18/2023,INV/20231018/MPL/2116310023,85000
02SSG30050903012,SUNSUN HF400,9,10/18/2023,INV/20231018/MPL/2116310024,115000
02SSG30050903013,SUNSUN HF600,4,10/18/2023,INV/20231018/MPL/2116310025,165000
6955974958069,SUNSUN HJ111B,6,10/18/2023,INV/20231018/MPL/2116310026,55000
6955974958076,SUNSUN HJ311B,81,10/18/2023,INV/20231018/MPL/2116310027,60000
6955974958083,SUNSUN HJ411B,8,10/18/2023,INV/20231018/MPL/2116310028,60000
255630051703016,SUNSUN HT100,5,10/18/2023,INV/20231018/MPL/2116310029,90000
255630051703017,SUNSUN HT200,6,10/18/2023,INV/20231018/MPL/2116310030,115000
SU01-HT500,SUNSUN HT500,3,10/18/2023,INV/20231018/MPL/2116310031,235000
6955974930744,SUNSUN HW5000,10,10/18/2023,INV/20231018/MPL/2116310032,2250000
6955974957864,SUNSUN HW602B,3,10/18/2023,INV/20231018/MPL/2116310033,230000
6955974957888,SUNSUN HW603B,7,10/18/2023,INV/20231018/MPL/2116310034,305000
6955974932915,SUNSUN HW604B,2,10/18/2023,INV/20231018/MPL/2116310035,400000
SUNSUN-JEP10000,SUNSUN JEP10000,10,10/18/2023,INV/20231018/MPL/2116310036,1020000
SUNSUN-JEP15000,SUNSUN JEP15000,10,10/18/2023,INV/20231018/MPL/2116310037,858000
6934995803190,SUNSUN JP092,10,10/18/2023,INV/20231018/MPL/2116310038,85000
6955974938924,SUNSUN JQP1000,12,10/18/2023,INV/20231018/MPL/2116310039,70000
6955974939938,SUNSUN JQP1000F,5,10/18/2023,INV/20231018/MPL/2116310040,90000
6955974938931,SUNSUN JQP1500,15,10/18/2023,INV/20231018/MPL/2116310041,90000
6955974939945,SUNSUN JQP1500F,7,10/18/2023,INV/20231018/MPL/2116310042,150000
6955974938948,SUNSUN JQP2500,4,10/18/2023,INV/20231018/MPL/2116310043,110000
6955974939952,SUNSUN JQP2500F,5,10/18/2023,INV/20231018/MPL/2116310044,170000
6955974938955,SUNSUN JQP3000,2,10/18/2023,INV/20231018/MPL/2116310045,160000
6955974938962,SUNSUN JQP3500,7,10/18/2023,INV/20231018/MPL/2116310046,230000
6955974938917,SUNSUN JQP500,12,10/18/2023,INV/20231018/MPL/2116310047,50000
6955974939921,SUNSUN JQP500F,9,10/18/2023,INV/20231018/MPL/2116310048,70000
SU01-JRB300,SUNSUN JRB300,6,10/18/2023,INV/20231018/MPL/2116310049,160000
6955974905971,SUNSUN JTP10000,10,10/18/2023,INV/20231018/MPL/2116310050,930000
SU01-JTP12000,SUNSUN JTP12000,6,10/18/2023,INV/20231018/MPL/2116310051,970000
SU01-JTP1800,SUNSUN JTP1800,10,10/18/2023,INV/20231018/MPL/2116310052,850000
SU01-JTP2000,SUNSUN JTP2000,9,10/18/2023,INV/20231018/MPL/2116310053,390000
SU01-JTP2500,SUNSUN JTP2500,8,10/18/2023,INV/20231018/MPL/2116310054,410000
6955974927751,SUNSUN JTP3000,11,10/18/2023,INV/20231018/MPL/2116310055,430000
SU01-JTP3800,SUNSUN JTP3800,9,10/18/2023,INV/20231018/MPL/2116310056,550000
SU01-JTP4800,SUNSUN JTP4800,10,10/18/2023,INV/20231018/MPL/2116310057,570000
6955974905988,SUNSUN JTP5800,20,10/18/2023,INV/20231018/MPL/2116310058,590000
SU01-JTP7000,SUNSUN JTP7000,10,10/18/2023,INV/20231018/MPL/2116310059,750000
SU01-JTP8000,SUNSUN JTP8000,3,10/18/2023,INV/20231018/MPL/2116310060,770000
6955974905124,SUNSUN JTP9000,9,10/18/2023,INV/20231018/MPL/2116310061,790000
6955974905537,SUNSUN JY02,28,10/18/2023,INV/20231018/MPL/2116310062,50000
6955974923852,SUNSUN JY03,11,10/18/2023,INV/20231018/MPL/2116310063,60000
SUNSUN-KOI12000FS,SUNSUN KOI12000FS,10,10/18/2023,INV/20231018/MPL/2116310064,1500000
SUNSUN-KOI15000FS,SUNSUN KOI15000FS,10,10/18/2023,INV/20231018/MPL/2116310065,1900000
SUNSUN-KOI16000,SUNSUN KOI16000,5,10/18/2023,INV/20231018/MPL/2116310066,2000000
SUNSUN-KOI5000,SUNSUN KOI5000,10,10/18/2023,INV/20231018/MPL/2116310067,1200000
6955974951206,SUNSUN Media Filter Breath Bio Ring 500 gr,7,10/18/2023,INV/20231018/MPL/2116310068,35000
6955974951084,SUNSUN Media Filter Carbon Active,6,10/18/2023,INV/20231018/MPL/2116310069,25000
6955974951183,SUNSUN Media Filter Hexagon Ceramic Ring 500 gr,9,10/18/2023,INV/20231018/MPL/2116310070,25000
6955974951299,SUNSUN Media Filter Maifaan Stone 500 gr,5,10/18/2023,INV/20231018/MPL/2116310071,20000
6955974951237,SUNSUN Media Filter Yellow Mini Bacteria House,7,10/18/2023,INV/20231018/MPL/2116310072,25000
SU01-PG1100,SUNSUN PG1100,10,10/18/2023,INV/20231018/MPL/2116310073,3250000
SU01-PG120,SUNSUN PG120,10,10/18/2023,INV/20231018/MPL/2116310074,1000000
SU01-PG180,SUNSUN PG180,10,10/18/2023,INV/20231018/MPL/2116310075,1200000
SU01-PG250,SUNSUN PG250,2,10/18/2023,INV/20231018/MPL/2116310076,1450000
SU01-PG370,SUNSUN PG370,10,10/18/2023,INV/20231018/MPL/2116310077,1850000
SU01-PG550,SUNSUN PG550,10,10/18/2023,INV/20231018/MPL/2116310078,2000000
SU01-PG750,SUNSUN PG750,2,10/18/2023,INV/20231018/MPL/2116310079,2400000
02SSG30050503011,SUNSUN RAJA H55,10,10/18/2023,INV/20231018/MPL/2116310080,1170000
SUNSUN-RAJAH75,SUNSUN RAJA H75,10,10/18/2023,INV/20231018/MPL/2116310081,1500000
SUNSUN-RAJAH95,SUNSUN RAJA H95,10,10/18/2023,INV/20231018/MPL/2116310082,1600000
02SSG3005051601311,SUNSUN RJ1000L,20,10/18/2023,INV/20231018/MPL/2116310083,80000
02SSG3005051601312,SUNSUN RJ1500L,14,10/18/2023,INV/20231018/MPL/2116310084,95000
02SSG3005051601315,SUNSUN RJ2500L,10,10/18/2023,INV/20231018/MPL/2116310085,115000
02SSG3005051601316,SUNSUN RJ3000L,5,10/18/2023,INV/20231018/MPL/2116310086,210000
02SSG3005051601317,SUNSUN RJ3500L,6,10/18/2023,INV/20231018/MPL/2116310087,275000
02SSG3005051601328,SUNSUN RJ4500L,4,10/18/2023,INV/20231018/MPL/2116310088,410000
SUNSUN-RP100,SUNSUN RP100,2,10/18/2023,INV/20231018/MPL/2116310089,2200000
SUNSUN-RP120,SUNSUN RP120,10,10/18/2023,INV/20231018/MPL/2116310090,2400000
SUNSUN-RP120B,SUNSUN RP120B,10,10/18/2023,INV/20231018/MPL/2116310091,2700000
SUNSUN-RP280,SUNSUN RP280,10,10/18/2023,INV/20231018/MPL/2116310092,6700000
SUNSUN-RP50,SUNSUN RP50,10,10/18/2023,INV/20231018/MPL/2116310093,1600000
SUNSUN-RP80,SUNSUN RP80,10,10/18/2023,INV/20231018/MPL/2116310094,2000000
SU01-RPS1200,SUNSUN RPS 1200,10,10/18/2023,INV/20231018/MPL/2116310095,125000
SU01-RPS1600,SUNSUN RPS 1600,10,10/18/2023,INV/20231018/MPL/2116310096,200000
6955974955051,SUNSUN RPS1000,10,10/18/2023,INV/20231018/MPL/2116310097,100000
02SSG300505160137,SUNSUN RPS10000,5,10/18/2023,INV/20231018/MPL/2116310098,1500000
